FID,Field1,x,y,WPreyD,Rgd,Alt
574,2680,8695500,3740110,0.2500000,83.4326019,5132.0000000
575,2681,8696000,3740110,0.2500000,15.0997000,4957.0000000
576,2682,8696500,3740110,0.2500000,75.4785004,5138.0000000
577,2683,8697000,3740110,0.2500000,66.5883026,5486.0000000
578,2684,8697500,3740110,0.2500000,48.3115005,5459.0000000
579,2685,8698000,3740110,0.2500000,25.5342999,5246.0000000
580,2686,8698500,3740110,0.2500000,30.4631004,5152.0000000
581,2687,8699000,3740110,0.2500000,21.1187000,5055.0000000
582,2688,8699500,3740110,0.2500000,37.9737015,4871.0000000
583,2689,8700000,3740110,0.2500000,53.2541008,4642.0000000
584,2690,8700500,3740110,0.2500000,29.1718998,4472.0000000
585,2691,8701000,3740110,0.2500000,46.7974014,4494.0000000
586,2692,8701500,3740110,0.2500000,24.1453991,4587.0000000
587,2693,8702000,3740110,0.2500000,19.4165001,4685.0000000
588,2694,8702500,3740110,0.2500000,36.1800995,5001.0000000
589,2695,8703000,3740110,0.2500000,74.9332962,5153.0000000
590,2696,8703500,3740110,0.2500000,74.8999023,5385.0000000
592,2698,8704500,3740110,0.2500000,37.3898010,5381.0000000
593,2699,8705000,3740110,0.2500000,43.6348000,5225.0000000
594,2700,8705500,3740110,0.2500000,53.2352982,5175.0000000
595,2701,8706000,3740110,0.2500000,21.4242992,5038.0000000
596,2702,8706500,3740110,0.2498730,26.9815006,5048.0000000
597,2703,8707000,3740110,0.2494900,54.0555000,5064.0000000
598,2704,8707500,3740110,0.2489740,65.9089966,5085.0000000
599,2705,8708000,3740110,0.2484520,24.5967007,5049.0000000
600,2706,8708500,3740110,0.2477850,32.8329010,4983.0000000
601,2707,8709000,3740110,0.2470960,26.8887005,4912.0000000
602,2708,8709500,3740110,0.2462420,21.4242992,4747.0000000
603,2709,8710000,3740110,0.2453420,23.5797005,4575.0000000
604,2710,8710500,3740110,0.2443860,41.0000000,4504.0000000
605,2711,8711000,3740110,0.2434530,33.3765984,4373.0000000
606,2712,8711500,3740110,0.2424720,31.8118992,4238.0000000
607,2713,8712000,3740110,0.2415150,27.5317993,4086.0000000
608,2714,8712500,3740110,0.2405470,11.4018002,4086.0000000
609,2715,8713000,3740110,0.2395550,8.0000000,4149.0000000
610,2716,8713500,3740110,0.2385710,50.2792015,4180.0000000
611,2717,8714000,3740110,0.2376860,49.7293015,4488.0000000
612,2718,8714500,3740110,0.2367580,64.0936966,4426.0000000
613,2719,8715000,3740110,0.2358650,49.8597984,4164.0000000
614,2720,8715500,3740110,0.2350000,37.1080017,4326.0000000
615,2721,8716000,3740110,0.2340220,34.7419014,4481.0000000
616,2722,8716500,3740110,0.2332750,39.8372002,4660.0000000
627,2867,8683500,3740610,0.2500000,23.4094009,5152.0000000
628,2868,8684000,3740610,0.2500000,17.8885002,5093.0000000
629,2869,8684500,3740610,0.2500000,51.3809013,5267.0000000
630,2870,8685000,3740610,0.2500000,45.0332985,5388.0000000
631,2871,8685500,3740610,0.2500000,96.0364990,5275.0000000
632,2872,8686000,3740610,0.2500000,70.2352982,5007.0000000
633,2873,8686500,3740610,0.2500000,42.8485985,4792.0000000
634,2874,8687000,3740610,0.2500000,62.6977005,4609.0000000
635,2875,8687500,3740610,0.2500000,34.5831985,4415.0000000
636,2876,8688000,3740610,0.2500000,25.5930004,4293.0000000
637,2877,8688500,3740610,0.2501700,65.1075974,4316.0000000
638,2878,8689000,3740610,0.2501660,94.1009979,4510.0000000
639,2879,8689500,3740610,0.2501620,54.0369987,4640.0000000
640,2880,8690000,3740610,0.2501590,71.8888016,4249.0000000
641,2881,8690500,3740610,0.2500000,93.2147980,3951.0000000
642,2882,8691000,3740610,0.2500000,24.6779003,3628.0000000
643,2883,8691500,3740610,0.2500000,16.9115009,3720.0000000
644,2884,8692000,3740610,0.2500000,21.8861008,3796.0000000
645,2885,8692500,3740610,0.2500000,14.7648001,3862.0000000
646,2886,8693000,3740610,0.2500000,38.8200989,4014.0000000
647,2887,8693500,3740610,0.2500000,24.5356998,4187.0000000
