sno,x,y,villdist,rugged,WP numbers,WPDensity,LargeLS,SmallLS,LargeLSDensity,SmallLSDensity
670,8636250,3793360,19724.61,39.11,10,0.01,0,5000,0,60.02
671,8639250,3793360,16835.33,38.23,10,0.01,0,0,0,0
672,8642250,3793360,13992.72,6.78,10,0.01,0,5000,0,165.16
673,8645250,3793360,11232.28,37.43,15,0.01,0,0,0,0
674,8648250,3793360,8633.19,47.26,15,0.01,0,0,0,0
676,8654250,3793360,5026.71,51.88,15,0.01,0,0,0,0
677,8657250,3793360,4644.55,39.15,15,0.01,0,0,0,0
679,8663250,3793360,4071.28,29.07,15,0.01,0,0,0,0
681,8669250,3793360,5866.66,23.27,15,0.01,0,0,0,0
682,8672250,3793360,5535.85,21.79,15,0.01,0,0,0,0
683,8675250,3793360,5882.87,37.05,42,0.04,0,0,0,0
684,8678250,3793360,7034.93,70.63,940,0.58,0,0,0,0
685,8681250,3793360,7321.27,52.42,940,0.58,0,0,0,0
686,8684250,3793360,7827.88,44.85,940,0.58,0,0,0,0
687,8687250,3793360,9324.71,97.81,940,0.58,0,0,0,0
688,8690250,3793360,11424.05,62.35,940,0.58,0,0,0,0
691,8699250,3793360,17613.69,77.23,940,0.58,0,0,0,0
692,8702250,3793360,19067.08,15.2,940,0.58,0,0,0,0
696,8714250,3793360,27509.96,71.15,940,0.58,0,0,0,0
703,8630250,3796360,25177.42,50.65,10,0.01,0,5000,0,25.08
704,8633250,3796360,22187.17,36.65,10,0.01,0,5000,0,25.08
705,8636250,3796360,19199.96,44.92,10,0.01,0,5000,0,25.08
706,8639250,3796360,16217.47,12.66,10,0.01,0,0,0,0
707,8642250,3796360,13242.89,13.39,10,0.01,0,5000,0,165.16
708,8645250,3796360,10283.1,12.7,10,0.01,0,0,0,0
709,8648250,3796360,7355.95,30.36,15,0.01,0,0,0,0
710,8651250,3796360,4525.25,34.57,15,0.01,0,0,0,0
711,8654250,3796360,2201.31,39.26,15,0.01,0,0,0,0
712,8657250,3796360,1645.28,28.73,15,0.01,97,2,252.74,5.21
713,8660250,3796360,3321,36.19,15,0.01,105,105,95.47,95.47
714,8663250,3796360,1092.69,60.5,15,0.01,105,105,39.26,39.26
715,8666250,3796360,2947.95,51.93,15,0.01,0,0,0,0
716,8669250,3796360,3258.31,8.96,15,0.01,0,0,0,0
