,sno,x,y,villdist,rugged,WP.numbers,WPDensity,LargeLS,SmallLS,LargeLSDensity,SmallLSDensity,Z.LargeLSDensity,Z.rugged,Z.SmallLSDensity,Z.villdist,Z.WPDensity
166,402,8672250,3769360,13236.42,32.83,15,0.01,0,0,0,0,-0.196790175,-0.254467797,-0.232904202,0.117797392,-0.949336105
167,403,8675250,3769360,11104.13,42.28,15,0.01,0,0,0,0,-0.196790175,0.247434566,-0.232904202,-0.134615101,-0.949336105
168,404,8678250,3769360,8843.26,63.26,15,0.01,0,0,0,0,-0.196790175,1.361710923,-0.232904202,-0.402248412,-0.949336105
169,405,8681250,3769360,6528.18,45.79,169,0.29,194,0,77.75,0,0.669586178,0.433855443,-0.232904202,-0.6762989,0.271415828
170,406,8684250,3769360,4812.22,79.87,169,0.29,194,0,43.65,0,0.289606324,2.243890633,-0.232904202,-0.879427808,0.271415828
171,407,8687250,3769360,1887.68,55.79,169,0.29,0,0,0,0,-0.196790175,0.964969055,-0.232904202,-1.225623885,0.271415828
172,408,8690250,3769360,1012.95,7.62,940,0.58,0,0,0,0,-0.196790175,-1.593405213,-0.232904202,-1.329171142,1.535766044
173,409,8693250,3769360,2204.32,20.78,940,0.58,0,0,0,0,-0.196790175,-0.8944597,-0.232904202,-1.188141229,1.535766044
174,410,8696250,3769360,1988.46,15.78,940,0.58,49,73,9.95,14.82,-0.085916288,-1.160016506,-0.078122258,-1.213693926,1.535766044
175,411,8699250,3769360,4375.02,8.41,940,0.58,219,200,80.05,73.1,0.695215318,-1.551447238,0.53056139,-0.931181905,1.535766044
176,412,8702250,3769360,6499.42,16.45,940,0.58,0,0,0,0,-0.196790175,-1.124431894,-0.232904202,-0.6797034,1.535766044
177,413,8705250,3769360,6926.53,18.93,940,0.58,0,0,0,0,-0.196790175,-0.992715718,-0.232904202,-0.629143721,1.535766044
178,415,8711250,3769360,6023.51,101.27,940,0.58,0,0,0,0,-0.196790175,3.380473762,-0.232904202,-0.736039841,1.535766044
179,416,8714250,3769360,4974.37,57.98,940,0.58,0,0,0,0,-0.196790175,1.081282936,-0.232904202,-0.8602331,1.535766044
180,417,8717250,3769360,5586.24,31.52,117,0.23,387,354,16,14.64,-0.018500508,-0.324043681,-0.080002201,-0.787802224,0.009826128
181,418,8720250,3769360,7461.08,27.47,117,0.23,387,354,5.85,5.35,-0.131603015,-0.539144693,-0.177028129,-0.565865696,0.009826128
182,419,8723250,3769360,9906.03,54.05,117,0.23,387,354,5.85,5.35,-0.131603015,0.872555287,-0.177028129,-0.276441685,0.009826128
183,431,8654250,3772360,23711.59,16.5,15,0.01,0,0,0,0,-0.196790175,-1.121776326,-0.232904202,1.357808728,-0.949336105
184,432,8657250,3772360,21184.84,12.84,15,0.01,0,0,0,0,-0.196790175,-1.316163908,-0.232904202,1.05870154,-0.949336105
185,434,8663250,3772360,16610.62,27.51,15,0.01,0,0,0,0,-0.196790175,-0.537020239,-0.232904202,0.517222533,-0.949336105
186,435,8666250,3772360,14712.94,23.09,15,0.01,0,0,0,0,-0.196790175,-0.771772455,-0.232904202,0.292582292,-0.949336105
187,438,8675250,3772360,9051.33,32.6,15,0.01,0,0,0,0,-0.196790175,-0.266683411,-0.232904202,-0.377617866,-0.949336105
