FID,Field1,Rgd,Alt,StdRgd,StdAlt,D.0,x,y
210,3063,42.3298988,4473,0.001845509,-0.506128943,0.000178226,324262.5272,3132250.081
211,3064,39.9216003,4306,-0.114259664,-0.730604661,0.000192168,325262.5272,3132250.081
212,3065,41.3347015,4265,-0.046133408,-0.785715467,0.000194053,326262.5272,3132250.081
213,3066,45.8030014,4126,0.169285376,-0.972554538,0.000195508,327262.5272,3132250.081
214,3067,53.8930016,3838,0.55930799,-1.35967434,0.000175066,328262.5272,3132250.081
215,3068,52.9807014,4318,0.515325579,-0.71447467,0.000191495,329262.5272,3132250.081
216,3069,49.2910004,4291,0.337443405,-0.750767151,0.000192932,330262.5272,3132250.081
217,3070,54.6290016,3834,0.594790887,-1.365051004,0.000174589,331262.5272,3132250.081
218,3071,57.7681999,3433,0.746133074,-1.904061562,0.000112448,332262.5272,3132250.081
219,3072,61.1547012,2929,0.909397852,-2.581521216,4.05E-05,333262.5272,3132250.081
220,3073,63.2528,2946,1.010548156,-2.558670394,4.23E-05,334262.5272,3132250.081
221,3074,61.1170006,3133,0.907580289,-2.307311356,6.52E-05,335262.5272,3132250.081
222,3243,48.1523018,3597,0.282546224,-1.683618341,0.00014008,283262.5272,3133250.081
223,3244,50.3622017,3067,0.38908651,-2.396026311,5.65E-05,284262.5272,3133250.081
224,3245,53.7103996,2805,0.550504664,-2.748197797,2.91E-05,285262.5272,3133250.081
225,3246,56.4729996,2903,0.683690875,-2.616469531,3.79E-05,286262.5272,3133250.081
226,3247,55.6185989,2895,0.642499826,-2.627222859,3.72E-05,287262.5272,3133250.081
227,3248,54.7753983,3008,0.601848739,-2.475332103,4.92E-05,288262.5272,3133250.081
228,3249,47.9995003,3467,0.275179593,-1.858359919,0.000118223,289262.5272,3133250.081
229,3250,46.6119003,3309,0.208282762,-2.070738143,9.18E-05,290262.5272,3133250.081
230,3251,59.2966995,2901,0.81982274,-2.619157863,3.77E-05,291262.5272,3133250.081
231,3258,75.3806,3032,1.595234947,-2.44307212,5.21E-05,298262.5272,3133250.081
232,3259,71.9860992,3430,1.431584509,-1.90809406,0.000111939,299262.5272,3133250.081
233,3260,68.2260971,3779,1.250313087,-1.438980133,0.000167599,300262.5272,3133250.081
234,3261,75.0086975,4241,1.577305358,-0.81797545,0.000194853,301262.5272,3133250.081
235,3262,71.1083984,3403,1.389270152,-1.944386541,0.000107376,302262.5272,3133250.081
236,3263,67.3807983,3740,1.209560844,-1.491402606,0.000162204,303262.5272,3133250.081
237,3264,67.5399017,3136,1.217231292,-2.303278858,6.57E-05,304262.5272,3133250.081
238,3265,65.5307007,3452,1.120366792,-1.878522408,0.000115673,305262.5272,3133250.081
239,3266,70.9719009,3926,1.382689545,-1.241387734,0.000184367,306262.5272,3133250.081
240,3267,77.5516968,4801,1.699904518,-0.065242501,0.000130175,307262.5272,3133250.081
241,3268,56.9323006,5107,0.705833986,0.346072289,7.96E-05,308262.5272,3133250.081
242,3269,49.3400993,4564,0.339810485,-0.383809839,0.000166996,309262.5272,3133250.081
243,3270,49.2064018,4347,0.333364867,-0.675493856,0.000189648,310262.5272,3133250.081
244,3271,48.9598007,4165,0.321476115,-0.920132065,0.000195879,311262.5272,3133250.081
245,3272,47.6239014,4209,0.257071798,-0.860988761,0.000195566,312262.5272,3133250.081
246,3273,47.5658989,4232,0.254275471,-0.830072944,0.000195095,313262.5272,3133250.081
247,3274,50.3065987,4221,0.386405864,-0.84485877,0.000195346,314262.5272,3133250.081
248,3275,58.7863007,4839,0.79521618,-0.014164194,0.000123748,315262.5272,3133250.081
249,3276,64.9095993,5640,1.090423209,1.062512756,2.14E-05,316262.5272,3133250.081
250,3277,50.7981987,5632,0.410106125,1.051759428,2.19E-05,317262.5272,3133250.081
251,3278,42.8438988,5072,0.026625684,0.299026479,8.50E-05,318262.5272,3133250.081
252,3279,43.196701,4861,0.04363444,0.015407457,0.00012001,319262.5272,3133250.081
253,3280,48.674099,5137,0.307702306,0.386397268,7.51E-05,320262.5272,3133250.081
254,3281,49.2672005,5076,0.336296,0.304403143,8.44E-05,321262.5272,3133250.081
255,3282,51.6383018,4803,0.45060788,-0.062554169,0.000129838,322262.5272,3133250.081
256,3283,54.8190994,4942,0.603955589,0.124284902,0.000106284,323262.5272,3133250.081
257,3284,45.9348984,4893,0.17564419,0.058420769,0.000114571,324262.5272,3133250.081
258,3285,46.1757011,4791,0.187253399,-0.078684161,0.000131857,325262.5272,3133250.081
259,3286,47.0051003,4540,0.227239114,-0.416069822,0.000170167,326262.5272,3133250.081
260,3287,52.8250008,4211,0.507819182,-0.858300429,0.000195533,327262.5272,3133250.081
261,3288,54.1286011,4245,0.570666349,-0.812598786,0.000194735,328262.5272,3133250.081
262,3289,46.1815987,4643,0.187537725,-0.277620726,0.000155667,329262.5272,3133250.081
